"id","region","year","vybyv","pribyv","coefmigr","migrplus","pop","ipc","avto","longf","longm","long","estprir","infmort","income","goods","gini","belowmin","incgroup","badwater","vrppc","percmin","totsp","famsubs","docload","unemp","lvybyv","lpribyv","lcoefmigr","lmigrplus","lpop","lincome","lbadwater","lvrppc","dlpop","davto","dlongf","dlongm","dlong","destprir","dlincome","dlbadwater","dlvrppc","dtotsp"
1,"Адыгея",2006,8108,8652,0.25,12.31,0.439798,0.0848999999999999,1.685,7.41,6.27,6.83,-4.7,8.038,4.731,0.671,0.348,32.7,6.9,2.285,4.00418333333333,32.94,23.1,1.8,2.592,0.139,9.00072983494456,9.06566136060674,0.22314355131421,2.58851563240702,0.364502825970284,1.7458900355696,1.18936665193657,1.61027422929031,-0.00163014944433948,0.119,-0.0499999999999998,0.080000000000001,0.0200000000000005,0.2,0.158104860830953,-0.0408585235334276,0.172920455297689,-0.0999999999999979
1,"Адыгея",2007,8161,9382,5.02,1221,0.438252,0.113,1.828,7.49,6.28,6.88,-2.8,9.005,5.8021,0.682,0.353,30.1,6.7,2.13,5.53051666666667,30.44,23.2,3.5,2.556,0.103,9.00724451596575,9.14665482029005,1.79508725932073,7.10824413973154,0.363428487339127,1.9172313880353,1.14103300455206,1.87648606215938,-0.00107433863115658,0.143,0.080000000000001,0.0099999999999989,0.0499999999999998,1.9,0.171341352465702,-0.0483336473845122,0.266211832869066,0.0999999999999979
1,"Адыгея",2008,6982,8641,12.47,57.83,0.43864,0.151,1.978,7.48,6.28,6.86,-2.2,8.525,8.047,0.748,0.367,23.9,6.4,2.144,6.86485,24.2,24.2,3.4,2.658,0.073,8.85123390284603,9.06438931649188,2.60046499042227,4.07465192887636,0.363698222874804,2.2024332110436,1.14549587456696,2.06240346449112,0.000269735535676996,0.15,-0.0100000000000007,0,-0.0200000000000005,0.6,0.285201823008302,0.00446287001489831,0.185917402331738,1
1,"Адыгея",2009,6076,7175,6.529,1099,0.43957,0.0853,2.206,7.56,6.44,6.99,-1.6,7.236,10.5558,0.692,0.384,18.4,6,2.866,7.86970833333333,18.6,24.4,3.7,2.627,0.077,8.71226643213535,8.87849740373863,2.01876223086799,7.00306545878646,0.364344457883623,2.44718747542757,1.35222038078614,2.1826419134058,0.000646235008818441,0.228,0.0800000000000001,0.160000000000001,0.130000000000001,0.6,0.244754264383963,0.206724506219179,0.120238448914686,0.199999999999999
1,"Адыгея",2010,6426,6900,3.979,474,0.439847,0.1008,2.356,7.57,6.43,7,-1.2,7.275,12.2787,0.68,0.385,16,5.9,2.88,8.94145833333333,16,24.3,8.9,2.638,0.093,8.76826314537129,8.8394216076206,1.60522906766005,6.16331480403464,0.364536857942978,2.58616124769033,1.35583515363518,2.29671372352212,0.00019240005935528,0.15,0.0100000000000007,-0.0100000000000007,0.00999999999999979,0.4,0.138973772262763,0.00361477284904277,0.114071810116312,-0.0999999999999979
1,"Адыгея",2011,10043,13094,36.945,3051,0.441193,0.0616,2.4,7.614,6.58,7.099,-1.2,5.6,14.2716,0.711,0.387,14.6,5.9,2.837,10.7291083333333,14.6,24.4,5.5,2.606,0.084,9.21473072027748,9.47998575694181,3.63613774285588,8.02355239240435,0.365471242816447,2.72599489435702,1.34469081126482,2.46207364386242,0.000934384873469363,0.044,0.0439999999999996,0.15,0.0989999999999993,0,0.139833646666691,-0.0111443423703665,0.1653599203403,0.0999999999999979
1,"Адыгея",2012,12734,14910,13.373,1076,0.443427,0.0655,2.504,7.696,6.635,7.168,-0.5,7.9,17.0714,0.749,0.397,11.3,5.7,2.839,12.2719083333333,11.3,24.5,5,2.575,0.081,9.45210938741356,9.60985447459091,2.66535144656909,6.98193467715639,0.367020147314533,2.89433057808334,1.34521191601866,2.58564964609314,0.00154890449808531,0.104,0.0819999999999999,0.0549999999999997,0.0690000000000017,0.7,0.168335683726322,0.000521104753845147,0.123576002230728,0.100000000000001
1,"Адыгея",2013,14044,16293,13.83,2249,0.445405,0.0689,2.608,7.697,6.655,7.18,-0.6,6.8,18.5125,0.809,0.39,12,5.8,2.578,13.258025,12,24.4,5.7,2.583,0.079,9.55002173953834,9.69855222087059,2.69665215614984,7.71868549519847,0.368389559110795,2.97105528584155,1.27480398508653,2.6573199060955,0.00136941179626238,0.104,0.00100000000000033,0.0199999999999996,0.0119999999999987,-0.1,0.0767247077582063,-0.070407930932133,0.0716702600023544,-0.100000000000001
1,"Адыгея",2014,14998,18002,38.009,1054,0.447788,0.1143,2.676,7.706,6.685,7.201,-0.6,8.5,22.054,0.746,0.396,11,5.7,2.442,14.5014666666667,11,25.6,5.7,2.592,0.088,9.61573881119536,9.79829368965762,3.66379238873729,6.96129604591017,0.370036874404925,3.13783929017882,1.23605269778935,2.74093464310458,0.0016473152941302,0.0680000000000001,0.00900000000000034,0.0300000000000002,0.0210000000000008,0,0.16678400433727,-0.0387512872971798,0.0836147370090807,1.2
2,"Алтай",2006,4074,4429,8.825,17.32,0.201709,0.0794,1.688,6.89,5.65,6.24,2.7,15.272,5.557,0.489,0.328,36,7.4,0.037,4.79628333333333,36.84,17.4,2.5,2.472,0.114,8.31262602567496,8.39615486303918,2.28493015775532,2.90799335924598,0.183744710297102,1.88053318128148,0.0363319292473902,1.75721690755165,-0.000245453597398054,0.106,0.130000000000001,0.23,0.2,1.1,0.19767753485322,-0.0115054001667699,0.224078854882265,1.6
