X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83
1974,3008,944,4837,1934,1921,2098,2047,1968,1762,1583,2284,0,467,7587,2056,165,3214,468,3350,299,2715,5391,6298,1850,3293,835,8080,1794,7315,6766,1784,1446,1547,1280,744,1198,1150,1232,795,4381,2087,1089,2832,873,920,1367,1387,1522,1153,9400,970,2663,571,1487,2531,1904,956,1233,635,1568,1724,897,574,770,8584,1006,1293,979,1062,2839,1046,1332,314,1258,929,970,1522,5865,7142,1847,1816
1663,3173,928,5094,1674,1507,1838,1736,1657,1523,1473,2719,467,0,7752,1796,422,3083,725,3607,374,2972,5648,6616,1539,3550,1092,8337,1483,7572,7023,1545,1186,1091,1001,505,887,911,765,556,4638,1848,819,3089,780,681,1624,1011,1283,686,9634,731,2424,324,1248,2788,2161,825,892,168,1329,1301,430,443,510,8841,1263,1054,512,823,3096,712,1589,298,1409,690,731,1283,6183,7399,2282,2187
8801,5386,6907,2754,8583,9051,8627,8315,8706,6337,5668,8684,7587,7752,0,8593,7435,3949,7248,4576,7603,5159,2090,1971,8823,4241,6947,3112,8584,2356,1786,8642,8002,6251,6173,5637,8189,8163,5925,5665,3198,9484,5982,4774,8588,6448,6223,7073,8961,5846,1867,5863,9565,7831,8784,5032,5672,7165,6102,7724,6195,8256,5784,7358,7869,1867,6582,6186,6574,5955,4819,5937,6312,7522,6488,5625,5863,8961,2342,2170,8247,6779
523,4014,2089,6034,288,28,132,594,363,2762,3205,4198,2056,1796,8593,0,2011,3399,2314,4417,2131,3725,6588,7618,593,4490,2681,9277,509,8512,7963,2937,610,1273,1609,1941,1054,2303,1335,2085,5578,2512,1760,4029,2576,2174,2561,1323,2481,1435,10406,1912,3789,2120,2446,3728,3101,1880,1477,1631,2426,698,1709,1566,1286,9781,2555,1866,1572,2007,4036,1641,2733,1742,2303,2090,1912,2481,7353,8339,3761,3539
1929,2856,887,4706,1889,1833,2053,2002,1923,1717,1452,2434,165,422,7435,2011,0,3169,337,3219,254,2584,5260,6316,1805,3162,704,7949,1749,7184,6635,1739,1401,1502,1235,699,1153,1105,1187,750,4250,2042,1044,2701,742,875,1236,1342,1477,1108,9248,925,2618,526,1442,2400,1773,911,1188,590,1523,1679,852,529,725,8453,875,1248,934,1017,2708,1001,1201,269,1127,884,925,1477,5918,7011,1997,1871
3802,1647,2667,5262,3277,5501,3441,3873,3642,4606,4378,5134,3214,3083,3949,3399,3169,0,3263,3489,3289,2797,5816,4214,3812,3782,3288,8505,3756,7740,7191,4628,2789,3839,3834,3588,3141,3994,3513,3639,4806,4791,3731,3234,3668,3764,2811,3759,4333,3434,6728,3767,5507,3407,4298,3025,2817,2258,3707,3003,4380,3686,3461,2676,2880,9009,2902,3990,3260,3859,3328,3612,3080,2900,2650,3773,3767,4333,4684,7567,4697,3229
2232,2669,616,4435,2192,2164,2356,2305,2226,1784,1115,2401,468,725,7248,2314,337,3263,0,2948,557,2313,4989,6056,2108,2891,367,7678,2052,6913,6364,1573,1704,1805,1538,1002,1456,1031,1490,1053,3979,2338,1347,2430,405,993,965,1645,1595,1411,9070,1228,2452,829,1560,2129,1502,1005,1491,893,1641,1982,1155,832,1028,8182,604,1551,1237,1320,2437,1304,930,572,856,1072,1228,1595,5703,6740,1964,1439
4820,1248,2725,1773,4295,5112,4459,4891,4660,4584,3915,4745,3350,3607,4576,4417,3219,3489,2948,0,3439,692,2327,4289,4708,585,2730,5016,4652,4251,3702,4373,3807,4498,4420,3884,4056,3831,4172,3912,1317,5138,4229,694,3205,3793,1986,4418,4395,4093,6453,4110,5252,3650,4360,827,1446,2975,4349,3575,4442,4582,4031,3248,3628,5520,2344,4433,3919,4202,887,4184,2018,3355,2244,3872,4110,4395,4641,4078,4308,2840
2037,3024,1019,4926,2009,1840,2173,2110,2031,1669,1627,2376,299,374,7603,2131,254,3289,557,3439,0,2804,5480,6365,1913,3382,924,8169,1857,7404,6855,1691,1521,1454,1187,651,1261,1057,1139,702,4470,1994,996,2921,934,827,1456,1294,1429,1060,9410,877,2570,478,1394,2620,1993,1031,1140,542,1475,1675,804,649,845,8673,1095,1200,886,969,2928,953,1421,389,1347,836,877,1429,5931,7231,1939,1900
4128,257,2090,2465,3603,4264,3767,4199,3968,3949,3280,3897,2715,2972,5159,3725,2584,2797,2313,692,2804,0,3019,4752,4073,985,2095,5708,4017,4943,4394,3738,3115,3863,3785,3249,3421,3196,3537,3277,2009,4503,3594,437,2570,3158,1351,3783,3760,3458,6982,3475,4617,3015,3725,228,821,2283,3714,2940,3807,3947,3396,2613,2993,6212,1709,3798,3284,3567,531,3549,1383,2720,1609,3237,3475,3760,4988,4770,3460,1993
6873,3246,4766,554,6466,6956,6630,6946,6831,6625,5956,6588,5391,5648,2090,6588,5260,5816,4989,2327,5480,3019,0,3006,6749,2098,4771,3095,6693,2330,1781,6414,5978,6539,6461,5925,6097,5872,6213,5953,1010,7179,6270,2849,5246,5834,4027,6459,6436,6134,3903,6151,7293,5691,6401,2860,3487,5146,6390,5616,6483,6623,6072,5289,5669,3599,4385,6474,5960,6243,2710,6225,4059,5396,4285,5913,6151,6436,3793,2157,6151,4684
7687,4706,6098,3392,7484,9380,7628,7344,7634,6345,5781,9012,6298,6616,1971,7618,6316,4214,6056,4289,6365,4752,3006,0,7699,4098,5836,2256,7563,1727,2152,5913,7164,2779,2704,6638,7121,6387,7083,6540,3580,7434,6939,4511,7049,6476,5598,7196,6639,6982,872,6776,5747,6481,6741,4704,5221,6372,7087,6708,6899,6582,6796,6487,6807,1319,5726,7064,6897,6738,4515,6917,5472,6469,5810,6526,6776,6639,1679,1854,8576,7108
258,4392,1983,6195,791,618,543,543,328,2350,2793,4152,1850,1539,8823,593,1805,3812,2108,4708,1913,4073,6749,7699,0,4651,2475,9438,290,8673,8124,2525,1083,855,1197,1529,671,1891,923,1673,5739,2100,1348,4190,2235,1762,2722,911,2069,1023,10784,1500,3377,1779,2034,3889,3262,1837,1065,1374,2014,286,1297,1496,1080,9942,2590,1454,1160,1595,4197,1229,2894,1536,2462,1678,1500,2069,7293,8500,3715,3491
4775,1110,2668,1544,4368,4822,4532,4848,4733,4527,3858,4455,3293,3550,4241,4490,3162,3782,2891,585,3382,985,2098,4098,4651,0,2673,4787,4595,4022,3473,4316,3880,4441,4363,3827,3999,3774,4115,3855,1088,5081,4172,751,3148,3736,1929,4361,4338,4036,6053,4053,5195,3593,4303,762,1389,3048,4292,3518,4385,4525,3974,3191,3571,5291,2287,4376,3862,4145,612,4127,1961,3298,2187,3815,4053,4338,4389,3849,4018,2550
2599,2368,851,4217,2559,2491,2723,2672,2593,1864,1195,2486,835,1092,6947,2681,704,3288,367,2730,924,2095,4771,5836,2475,2673,0,7460,2419,6695,6146,1653,2071,2068,1788,1180,1823,1111,1841,1192,3761,2418,1587,2212,485,1073,747,1908,1675,1752,8760,1467,2532,930,1640,1911,1284,1260,1754,1260,1721,2349,1453,1199,1395,7964,386,1801,1604,1529,2219,1567,712,939,638,1152,1467,1675,5504,6522,2049,1168
9562,6160,7455,3649,9155,9823,9319,9635,9520,9314,8645,9455,8080,8337,3112,9277,7949,8505,7678,5016,8169,5708,3095,2256,9438,4787,7460,0,9382,765,1532,9103,8667,9228,9150,8614,8786,8561,8902,8642,3961,9868,8959,5538,7935,8523,6716,9148,9125,8823,4927,8840,9982,8380,9090,5549,6176,7835,9079,8305,9172,9312,8761,7978,8358,2118,7074,9163,8649,8932,5399,8914,6748,8085,6974,8602,8840,9125,3701,938,9019,7551
