,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г.Москва,Республика Карелия,Республика Коми,Архангельская область,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г.Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский автономный округ,Ненецкий авт.округ (Нарьян-Мар),Республика Ингушетия (Магас),Ханты-Мансийский авт.округ-Югра,Ямало-Ненецкий авт.округ
Рязанская область,716,571,273,390,417,389,506,616,311,306,462,0,629,281,398,282,421,306,1153,1537,1269,635,1423,872,2148,837,919,872,1450,1659,1297,1314,878,1021,1802,1659,1444,1709,1406,1306,897,430,852,1155,804,1453,979,523,1203,515,821,661,676,2045,1693,2019,1787,3587,5518,3461,4031,3396,6072,3974,5054,3513,3212,2585,3520,5784,6796,8761,7996,7447,9979,9265,7823,6265,2542,1645,2560,2979
Смоленская область,666,263,621,744,765,340,782,543,656,476,389,629,0,730,476,421,736,476,1073,1851,1583,949,801,745,2100,619,561,745,1607,1816,1454,1731,1295,1168,2064,1816,1601,1866,1563,1866,1293,1054,1248,1551,1200,1801,1327,871,1761,1016,1379,1110,1305,2450,2089,2415,2341,4066,5920,3990,4433,3798,6474,4376,5464,3915,3614,2987,3922,6186,7064,9163,8398,7849,10458,9667,8225,6405,2768,1975,2999,3205
Тамбовская область,601,574,552,253,696,479,785,499,174,580,447,281,730,0,675,360,701,580,1430,1816,1548,914,1531,1149,2427,1114,1196,1149,1313,1503,1160,1056,654,891,1544,1522,1307,1572,1250,1194,979,512,934,1237,886,1604,1258,802,1089,347,707,380,747,1933,1775,2101,1675,3435,5406,3260,3919,3284,5960,3862,4950,3401,3100,2473,3408,6574,6897,8649,7884,7335,9826,9153,7711,6425,2697,1446,2608,3134
Тверская область,896,528,390,784,459,337,468,736,705,165,582,398,476,675,0,395,425,165,755,1540,1272,638,1139,474,1782,439,521,474,1748,1957,1595,1708,1272,1309,2196,1957,1742,2007,1704,1704,1062,823,1017,1320,969,1529,1055,640,1601,911,1219,1055,1074,2219,1858,2184,2110,3841,5689,3859,4202,3567,6243,4145,5233,3684,3383,2756,3691,5955,6738,8932,8167,7618,10233,9436,7994,6111,2412,1936,2711,2849
Тульская область,505,303,387,469,531,133,620,345,342,305,191,282,421,360,395,0,536,305,1150,1651,1383,749,1222,869,2177,834,916,869,1382,1591,1229,1393,957,943,1839,1591,1376,1641,1338,1459,1046,712,1001,1304,953,1567,1093,637,1354,609,972,740,958,2198,1842,2168,1940,3775,5671,3612,4184,3549,6225,4127,5215,3666,3365,2738,3673,5937,6917,8914,8149,7600,10167,9418,7976,6357,2561,1591,2792,2998
Ярославская область,1037,723,278,810,140,532,91,876,731,360,722,421,736,701,425,536,0,360,933,1123,855,221,1436,693,1734,658,740,693,1831,2040,1678,1734,1298,1392,2222,2040,1825,2090,1787,1618,929,690,884,1072,836,1152,678,430,1515,858,1133,1081,988,1889,1528,1854,1780,3543,5359,3773,3872,3237,5913,3815,4903,3354,3053,2426,3361,5625,6526,8602,7837,7837,9935,9106,7664,5949,2096,2036,2342,2533
г.Москва,806,463,302,689,394,272,406,646,610,0,492,306,476,580,165,305,360,0,920,1475,1207,573,1246,639,1947,604,686,639,1653,1862,1500,1613,1177,1214,2101,1862,1647,1912,1609,1612,970,731,925,1228,877,1467,993,552,1509,819,1127,960,982,2127,1766,2092,2018,3669,5597,3767,4110,3475,6151,4053,5141,3592,3291,2664,3599,5863,6776,8840,8075,7526,10062,9344,7902,6193,2369,1762,2601,2806
Республика Карелия (Петрозаводск),1619,1216,1111,1539,973,1092,854,1491,1460,920,1337,1153,1073,1430,755,1150,933,920,0,1655,854,753,1368,393,1027,464,644,393,2503,2712,2350,2463,2027,2064,2951,2712,2497,2762,2459,2400,1762,1523,1717,1784,1669,1864,1390,1263,2348,1666,1966,1810,1821,2601,2240,2566,2492,3221,6071,4606,4584,3949,6625,4527,5615,4066,3765,3138,4073,6337,6345,9314,8549,8000,10514,9818,8376,5622,2564,2786,3026,3001
Республика Коми (Сыктывкар),2152,1838,1399,1925,1263,1647,1201,1992,1846,1475,1838,1537,1851,1816,1540,1651,1123,1475,1655,0,1114,902,2467,1492,1993,1539,1743,1492,2946,3155,2793,2659,2360,2507,3147,3155,2940,3205,2902,1731,1583,1473,1452,1115,1627,1195,721,1149,2120,1641,1916,1983,1687,1932,1571,1897,1823,3117,5402,4378,3915,3280,5956,3858,4946,3397,3096,2469,3404,5668,5781,8645,7880,7331,9499,9149,7707,5288,1153,2617,2055,1590
Архангельская область,1884,1570,1133,1657,995,1379,933,1724,1578,1207,1570,1269,1583,1548,1272,1383,855,1207,854,1114,0,634,2199,1224,1137,1271,1475,1224,2678,2887,2525,2581,2145,2239,3069,2887,2672,2937,2634,2189,1784,1545,1739,1573,1691,1653,1179,1285,2370,1713,1988,1928,1843,2390,2029,2355,2281,4063,5860,4628,4373,3738,6414,4316,5404,3855,3554,2927,3862,8642,5913,9103,8338,7789,10455,9607,8165,5225,1986,2998,2769,2423
