,Белгородская область,Брянская область,Владимирская область,Воронежская область,Ивановская область,Калужская область,Костромская область,Курская область,Липецкая область,Московская область,Орловская область,Рязанская область,Смоленская область,Тамбовская область,Тверская область,Тульская область,Ярославская область,г.Москва,Республика Карелия,Республика Коми,Архангельская область,Вологодская область,Калининградская область,Ленинградская область,Мурманская область,Новгородская область,Псковская область,г.Санкт-Петербург,Республика Адыгея,Республика Калмыкия,Краснодарский край,Астраханская область,Волгоградская область,Ростовская область,Республика Дагестан,Кабардино-Балкарская Республика,Карачаево-Черкесская Республика,Республика Северная Осетия - Алания,Ставропольский край,Республика Башкортостан,Республика Марий Эл,Республика Мордовия,Республика Татарстан,Удмуртская Республика,Чувашская Республика,Пермский край,Кировская область,Нижегородская область,Оренбургская область,Пензенская область,Самарская область,Саратовская область,Ульяновская область,Курганская область,Свердловская область,Тюменская область,Челябинская область,Республика Алтай,Республика Бурятия,Республика Тыва,Республика Хакасия,Алтайский край,Забайкальский край,Красноярский край,Иркутская область,Кемеровская область,Новосибирская область,Омская область,Томская область,Республика Саха (Якутия),Камчатский край,Приморский край,Хабаровский край,Амурская область,Магаданская область,Сахалинская область,Еврейская авт. область,Чукотский автономный округ,Ненецкий авт.округ (Нарьян-Мар),Республика Ингушетия (Магас),Ханты-Мансийский авт.округ-Югра,Ямало-Ненецкий авт.округ
Нижегородская область,1138,858,829,911,296,667,579,978,832,552,824,523,871,802,640,637,430,552,1263,1149,1285,643,1665,1023,2164,988,233,1023,2187,2060,1779,1510,1211,1493,1998,2141,1926,2120,1807,1252,571,324,526,829,478,930,456,0,1149,492,767,834,622,1667,1306,1632,1558,3255,5137,3407,3650,3015,5691,3593,4681,3132,2831,2204,3139,7831,6481,8380,7615,7066,9647,8884,7442,5991,2117,1782,2139,2554
Оренбургская область,1668,1643,1330,1342,1381,1473,1506,1588,1263,1509,1519,1203,1761,1089,1601,1354,1515,1509,2348,2120,2370,1736,2562,2075,3249,2040,2121,2075,1961,2034,1837,1270,1185,1711,1758,1922,1955,1880,1781,409,956,825,911,1005,1031,1260,1410,1149,0,745,418,776,642,1119,1016,1291,861,2586,4592,2258,2975,2283,5146,3048,4136,2587,2286,1659,2594,7165,6372,7835,7070,6521,8972,8339,6897,6155,2608,2058,1866,3044
Пензенская область,926,898,673,600,724,728,849,846,521,819,774,515,1016,347,911,609,858,819,1666,1641,1713,1079,1817,1385,2592,1350,1431,1385,1498,1571,1374,1021,722,1136,1509,1673,1492,1631,1318,850,635,168,590,893,542,1260,948,492,745,0,363,345,403,1589,1431,1757,1331,3150,5062,3003,3575,2940,5616,3518,4606,3057,2756,2129,3064,7724,6708,8305,7540,6991,9531,8809,7367,6289,2429,1379,2320,2866
Самарская область,1286,1261,948,960,999,1091,1124,1206,881,1127,1137,821,1379,707,1219,972,1133,1127,1966,1916,1988,1354,2180,1693,2867,1658,1739,1693,1620,1693,1496,956,844,1370,1444,1608,1614,1566,1440,523,574,443,529,832,649,1199,1223,767,418,363,0,416,260,1262,1130,1434,1004,2784,4735,2676,3248,2613,5289,3191,4279,2730,2429,1802,2737,7358,6487,7978,7213,6664,9171,8482,7040,6155,2412,1643,1957,2849
Саратовская область,959,954,932,633,1066,859,1165,879,554,960,827,661,1110,380,1055,740,1081,960,1810,1983,1928,1294,1911,1529,2807,1494,1575,1529,1204,1277,1080,676,428,954,1164,1328,1198,1286,1024,903,770,510,725,1028,845,1395,1290,834,776,345,416,0,456,1642,1510,1814,1384,3240,5115,2880,3628,2993,5669,3571,4659,3110,2809,2182,3117,7869,6807,8358,7593,7044,9632,8862,7420,6434,2601,1167,2379,3038
Ульяновская область,1326,1247,803,1000,854,1065,979,1246,921,982,1138,676,1305,747,1074,958,988,982,1821,1687,1843,1209,2099,1548,2722,1513,1594,1548,1660,1733,1536,1132,884,1410,1620,1784,1654,1742,1480,630,314,298,269,572,389,939,977,622,642,403,260,456,0,1369,1110,1436,1111,2943,4842,2900,3355,2720,5396,3298,4386,2837,2536,1909,2844,7522,6469,8085,7320,6771,9334,8589,7147,6087,2167,1613,2100,2604
Курганская область,2512,2437,1901,2186,1929,2246,1810,2432,2107,2127,2363,2045,2450,1933,2219,2198,1889,2127,2601,1932,2390,1848,3155,2412,3269,2377,2458,2412,2846,2919,2722,1951,2070,2596,2439,2603,2804,2561,2666,739,1367,1624,1236,965,1456,747,1222,1667,1119,1589,1262,1642,1369,0,361,530,258,1644,3473,2811,1986,1351,4027,1929,3017,1468,1167,540,1475,6223,5598,6716,5951,5402,8036,7220,5778,5472,2765,2735,862,3201
Свердловская область,2343,2076,1540,2028,1568,1885,1449,2183,1949,1766,2029,1693,2089,1775,1858,1842,1528,1766,2240,1571,2029,1487,2794,2041,2908,2016,2097,2041,2714,2787,2590,1945,1938,2464,2433,2597,2708,2555,2534,607,1006,1263,875,604,1095,386,861,1306,1016,1431,1130,1510,1110,361,0,326,252,2003,3831,2902,2344,1709,4385,2287,3375,1826,1525,898,1833,6582,5726,7074,6309,5760,8394,7578,6136,5489,2400,2584,997,2837
Тюменская область,2669,2402,1866,2354,1894,2211,1775,2509,2275,2092,2355,2019,2415,2101,2184,2168,1854,2092,2566,1897,2355,1813,3120,2377,3234,2342,2423,2377,3018,3091,2894,2123,1938,2768,2611,2775,2976,2733,2838,911,1332,1589,1201,930,1421,712,1187,1632,1291,1757,1434,1814,1436,530,326,0,430,1732,3505,3080,2018,1383,4059,1961,3049,1500,1199,572,1507,6312,5472,6748,5983,5434,8125,7252,5810,5305,5018,2886,672,2391
Челябинская область,2254,2229,1792,1928,1820,2059,1701,2174,1849,2018,2105,1787,2341,1675,2110,1940,1780,2018,2492,1823,2281,1739,3046,2303,3160,2268,2349,2303,2588,2661,2462,1693,1812,2338,2181,2345,2546,2303,2408,481,1258,1409,1127,856,1347,638,1113,1558,861,1331,1004,1384,1111,258,252,430,0,1914,3731,2650,2244,1609,4285,2187,3275,1726,1425,798,1733,6488,5810,6974,6209,5660,8301,7478,6036,5626,2603,2457,1079,3039
Республика Алтай (Горно-Алтайск),3910,3412,3483,3656,3496,3862,3464,3880,3574,3669,3865,3587,4066,3435,3841,3775,3543,3669,3221,3117,4063,3584,4905,4382,4984,4205,4416,4382,4223,3736,4392,3422,3646,3589,4004,4048,4115,4014,4003,2328,3008,3173,2856,2669,3024,2368,4009,3255,2586,3150,2784,3240,2943,1644,2003,1732,1914,0,2601,1647,1248,257,3246,1110,2246,573,449,1091,708,5386,4706,6160,5407,4834,6765,4036,5221,5023,3678,4482,2210,4114
Республика Бурятия (Улан-Удэ),5985,5907,5371,5659,5399,5716,5280,5905,5580,5597,5836,5518,5920,5406,5689,5671,5359,5597,6071,5402,5860,5318,6625,5882,6739,5847,5929,5882,6319,6392,6195,5424,5543,6069,5912,6076,6277,6034,6139,4212,4837,5094,4706,4435,4926,4217,4692,5137,4592,5062,4735,5115,4842,3473,3831,3505,3731,2601,0,5262,1773,2465,554,1544,456,2295,2306,2933,2156,2754,3392,3649,2884,2335,4568,4153,2711,4084,5505,6309,4037,5942
Республика Тыва (Кызыл),3839,3834,3588,3513,3639,3731,3764,3759,3434,3767,3707,3461,3990,3260,3859,3612,3773,3767,4606,4378,4628,3994,4791,4333,5507,4298,4380,4333,3802,3873,3812,2789,3141,3686,3277,3441,3642,3399,3756,2667,3214,3083,3169,3263,3289,3288,3668,3407,2258,3003,2676,2880,2900,2811,2902,3080,2650,1647,5262,0,3489,2797,5816,3782,4806,3234,3025,2817,3328,3949,4214,8505,7740,7191,6728,9009,7567,4684,4697,5501,3229,5134
Республика Хакасия (Абакан),4498,4420,3884,4172,3912,4229,3793,4418,4093,4110,4349,4031,4433,3919,4202,4184,3872,4110,4584,3915,4373,3831,5138,4395,5252,4360,4442,4395,4820,4891,4708,3807,4056,4582,4295,4459,4660,4417,4652,2725,3350,3607,3219,2948,3439,2730,3205,3650,2975,3575,3248,3628,3355,1986,2344,2018,2244,1248,1773,3489,0,692,2327,585,1317,694,827,1446,887,4576,4289,5016,4251,3702,6453,5520,4078,4641,4308,5112,2840,4745
Алтайский край (Барнаул),3863,3785,3249,3537,3277,3594,3158,3783,3458,3475,3714,3396,3798,3284,3567,3549,3237,3475,3949,3280,3738,3196,4503,3760,4617,3725,3807,3760,4128,4199,4073,3115,3421,3947,3603,3767,3968,3725,4017,2090,2715,2972,2584,2313,2804,2095,2570,3015,2283,2940,2613,2993,2720,1351,1709,1383,1609,257,2465,2797,692,0,3019,985,2009,437,228,821,531,5159,4752,5708,4943,4394,6982,6212,4770,4988,3460,4264,1993,3897
Забайкальский край (Чита),6539,6461,5925,6213,5953,6270,5834,6459,6134,6151,6390,6072,6474,5960,6243,6225,5913,6151,6625,5956,6414,5872,7179,6436,7293,6401,6483,6436,6873,6946,6749,5978,6097,6623,6466,6630,6831,6588,6693,4766,5391,5648,5260,4989,5480,4771,5246,5691,5146,5616,5289,5669,5396,4027,4385,4059,4285,3246,554,5816,2327,3019,0,2098,1010,2849,2860,3487,2710,2090,3006,3095,2330,1781,3903,3599,2157,3793,6151,6956,4684,6588
Красноярский край,4441,4363,3827,4115,3855,4172,3736,4361,4036,4053,4292,3974,4376,3862,4145,4127,3815,4053,4527,3858,4316,3774,5081,4338,5195,4303,4385,4338,4775,4848,4651,3880,3999,4525,4368,4532,4733,4490,4595,2668,3293,3550,3162,2891,3382,2673,3148,3593,3048,3518,3191,3571,3298,1929,2287,1961,2187,1110,1544,3782,585,985,2098,0,1088,751,762,1389,612,4241,4098,4787,4022,3473,6053,5291,3849,4389,4018,4822,2550,4455
Иркутская область,5529,5451,4915,5203,4943,5260,4824,5449,5124,5141,5372,5054,5464,4950,5233,5215,4903,5141,5615,4946,5404,4862,6169,5426,6283,5391,5473,5426,5863,5935,5739,4968,5087,5613,5456,5620,5821,5578,5683,3756,4381,4638,4250,3979,4470,3761,4236,4681,4136,4606,4279,4659,4386,3017,3375,3049,3275,2246,456,4806,1317,2009,1010,1088,0,1839,1850,2477,1700,3198,3580,3961,3196,2647,5011,4465,3023,4198,5073,5878,3606,5510
Кемеровская область,3980,3902,3366,3654,3394,3711,3275,3900,3575,3592,3831,3513,3915,3401,3684,3666,3354,3592,4066,3397,3855,3313,4620,3877,4734,3842,3924,3877,4314,4387,4190,3419,3538,4064,3907,4071,4272,4029,4134,2207,2832,3089,2701,2430,2921,2212,2687,3132,2587,3057,2730,3110,2837,1468,1826,1500,1726,573,2295,3234,694,437,2849,751,1839,0,301,928,297,4774,4511,5538,4773,4224,6587,6042,4600,4720,3488,4292,2021,3925
Новосибирская область,3679,3601,3065,3353,3093,3410,2974,3599,3274,3291,3530,3212,3614,3100,3383,3365,3053,3291,3765,3096,3554,3012,4319,3576,4433,3541,3623,3576,4013,4086,3889,3118,3237,3763,3606,3770,3971,3728,3833,1906,2531,2788,2400,2129,2620,1911,2386,2831,2286,2756,2429,2809,2536,1167,1525,1199,1425,449,2306,3025,827,228,2860,762,1850,301,0,627,308,5032,4704,5549,4784,4235,6845,6053,4611,4874,3233,4037,1765,3670
Омская область,3052,2974,2438,2726,2466,2783,2347,2972,2647,2664,2903,2585,2987,2473,2756,2738,2426,2664,3138,2469,2927,2385,3692,2949,3806,2914,2996,2949,3386,3459,3262,2491,2610,3136,2979,3143,3344,3101,3206,1279,1904,2161,1773,1502,1993,1284,1759,2204,1659,2129,1802,2182,1909,540,898,572,798,1091,2933,2817,1446,821,3487,1389,2477,928,627,0,935,5672,5221,6176,5411,4862,7483,6680,5238,5237,2580,3384,1113,3017
Томская область,3987,3909,3373,3661,3401,3718,3282,3907,3582,3599,3838,3520,3922,3408,3691,3673,3361,3599,4073,3404,3862,3320,4627,3884,4741,3849,3931,3884,4321,4394,4197,3426,3545,4071,3914,4078,4279,4036,4141,2214,2839,3096,2708,2437,2928,2219,2694,3139,2594,3064,2737,3117,2844,1475,1833,1507,1733,708,2156,3328,887,531,2710,612,1700,297,308,935,0,4819,4515,5399,4634,4085,6632,5903,4461,4668,3487,4291,2019,3924
Республика Саха (Якутия) (Якутск-902),8055,7977,7441,7729,7469,7786,8252,8877,7650,7667,7906,7588,7990,8378,7759,7741,7429,7667,8141,7472,8642,8163,9484,8961,9565,8784,7999,8961,8801,8315,8823,8002,8189,8256,8583,8627,8706,8593,8584,6907,7587,7752,7435,7248,7603,6947,8588,7831,7165,7724,7358,7869,7522,6223,6582,6312,6488,5386,2754,3949,4576,5159,2090,4241,3198,4774,5032,5672,4819,0,1971,3112,2356,1786,1867,1867,2170,2342,8247,9051,6779,8684
Камчатский край (Петропавловск-Камчатский),7285,7125,6638,7083,6540,6939,6476,7196,6982,6776,7087,6796,7064,6897,6738,6917,6526,6776,6345,5781,5913,6387,7434,6639,5747,6741,6899,6639,7687,7344,7699,7164,7121,6582,7484,7628,7634,7618,7563,6098,6298,6616,6316,6056,6365,5836,7049,6481,6372,6708,6487,6807,6469,5598,5726,5472,5810,4706,3392,4214,4289,4752,3006,4098,3580,4511,4704,5221,4515,1971,0,2256,1727,2152,872,1319,1854,1679,8576,9380,7108,9012
Приморский край (Владивосток),9228,9150,8614,8902,8642,8959,8523,9148,8823,8840,9079,8761,9163,8649,8932,8914,8602,8840,9314,8645,9103,8561,9868,9125,9982,9090,9172,9125,9562,9635,9438,8667,8786,9312,9155,9319,9520,9277,9382,7455,8080,8337,7949,7678,8169,7460,7935,8380,7835,8305,7978,8358,8085,6716,7074,6748,6974,6160,3649,8505,5016,5708,3095,4787,3961,5538,5549,6176,5399,3112,2256,0,765,1532,4927,2118,938,3701,9019,9823,7551,9455
Хабаровский край,8463,8385,7849,8137,7877,8194,7758,8383,8058,8075,8314,7996,8398,7884,8167,8149,7837,8075,8549,7880,8338,7796,9103,8360,9217,8325,8407,8360,8797,8870,8673,7902,8021,8547,8390,8554,8755,8512,8617,6690,7315,7572,7184,6913,7404,6695,7170,7615,7070,7540,7213,7593,7320,5951,6309,5983,6209,5407,2884,7740,4251,4943,2330,4022,3196,4773,4784,5411,4634,2356,1727,765,0,767,4169,1353,173,3075,8263,9067,6795,8699
Амурская область (Благовещенск),7914,7836,7300,7588,7328,7645,7209,7834,7509,7526,7765,7447,7849,7335,7618,7600,7837,7526,8000,7331,7789,7247,8554,7811,8668,7776,7858,7811,8248,8321,8124,7353,7472,7998,7841,8005,8206,7963,8068,6141,6766,7023,6635,6364,6855,6146,6621,7066,6521,6991,6664,7044,6771,5402,5760,5434,5660,4834,2335,7191,3702,4394,1781,3473,2647,4224,4235,4862,4085,1786,2152,1532,767,0,3597,2036,594,3272,7738,8431,6270,8174
Магаданская область,10303,10457,9875,10048,9888,10254,9854,10272,9961,10062,10257,9979,10458,9826,10233,10167,9935,10062,10514,9499,10455,9976,11297,10765,11376,10597,10797,10765,10615,10132,10784,9814,10003,9981,10396,10440,10507,10406,10397,8720,9400,9634,9248,9070,9410,8760,10401,9647,8972,9531,9171,9632,9334,8036,8394,8125,8301,6765,4568,6728,6453,6982,3903,6053,5011,6587,6845,7483,6632,1867,872,4927,4169,3597,0,1499,3985,1487,10183,10987,8715,10620
Сахалинская область (Южно Сахалинск),9732,9654,9118,9406,9146,9463,9027,9652,9327,9344,9583,9265,9667,9153,9436,9418,9106,9344,9818,9149,9607,9065,10372,9629,10486,9594,9676,9629,10066,10139,9942,9171,9290,9816,9659,9823,10024,9781,9886,7959,8584,8841,8453,8182,8673,7964,8439,8884,8339,8809,8482,8862,8589,7220,7578,7252,7478,4036,4153,9009,5520,6212,3599,5291,4465,6042,6053,6680,5903,1867,1319,2118,1353,2036,1499,0,1442,2870,9806,10610,8338,10243
Еврейская авт. Область (Биробиджан),8290,8212,7676,7964,7704,8021,7585,8210,7885,7902,8141,7823,8225,7711,7994,7976,7664,7902,8376,7707,8165,7623,8930,8187,9044,8152,8234,8187,8624,8697,8500,7729,7848,8374,8217,8381,8582,8339,8444,6517,7142,7399,7011,6740,7231,6522,6997,7442,6897,7367,7040,7420,7147,5778,6136,5810,6036,5221,2711,7567,4078,4770,2157,3849,3023,4600,4611,5238,4461,2170,1854,938,173,594,3985,1442,0,3145,8080,8885,6613,8517
Чукотский автономный округ (Анадырь),6758,6524,6094,6588,5991,6352,5913,6648,6479,6193,6518,6265,6405,6425,6111,6357,5949,6193,5622,5288,5225,5784,6592,5886,4893,6021,6144,5886,7308,7022,7293,6914,6766,6005,7277,7335,7299,7353,7215,5834,5865,6183,5918,5703,5931,5504,6436,5991,6155,6289,6155,6434,6087,5472,5489,5305,5626,5023,4084,4684,4641,4988,3793,4389,4198,4720,4874,5237,4668,2342,1679,3701,3075,3272,1487,2870,3145,0,8605,11085,5960,1977
Ненецкий авт.округ (Наньян-Мар),3043,2765,2295,2886,2188,2564,2124,2901,2717,2369,2740,2542,2768,2697,2412,2561,2096,2369,2564,1153,1986,1898,3388,2551,3181,2487,2724,2551,3719,3267,3715,1986,2973,3445,3805,3676,3648,3761,3538,2304,1847,2282,1997,1964,1939,2049,1564,2117,2608,2429,2412,2601,2167,2765,2400,5018,2603,3678,5505,4697,4308,3460,6151,4018,5073,3488,3233,2580,3487,8247,8576,9019,8263,7738,10183,9806,8080,8605,0,4205,1648,1551
Республика Ингушетия (Магас),1383,1722,1903,1254,2014,1697,2107,1481,1370,1762,2187,1645,1975,1446,1936,1591,2036,1762,2786,2617,2998,2233,2730,2475,3629,2298,2487,2475,509,498,618,574,794,697,258,118,299,28,381,2050,1921,1507,1833,2164,1840,2491,2260,1782,2058,1379,1643,1167,1613,2735,2584,2886,2457,4482,6309,5501,5112,4264,6956,4822,5878,4292,4037,3384,4291,9051,9380,9823,9067,8431,10987,10610,8885,11085,4205,0,3540,4199
Ханты-Мансийский авт.округ-Югра (Ханты-Мансийск),3085,2996,2429,2825,2322,2795,2258,3058,2744,2601,2971,2560,2999,2608,2711,2792,2342,2601,3026,2055,2769,2489,3885,3142,3880,2940,3177,3142,3497,3045,3491,3176,2751,3220,3583,3454,3426,3539,3316,1507,1816,2187,1871,1439,1900,1168,1653,2139,1866,2320,1957,2379,2100,862,997,672,1079,2210,4037,3229,2840,1993,4684,2550,3606,2021,1765,1113,2019,6779,7108,7551,6795,6270,8715,8338,6613,5960,1648,3540,0,2085
Ямало-Ненецкий авт.округ (Салехард),3480,3202,2732,3323,2625,3001,2561,3338,3154,2806,3177,2979,3205,3134,2849,2998,2533,2806,3001,1590,2423,2335,3825,2988,3618,2924,3160,2988,4156,3704,4152,3835,3410,3882,4242,4113,4085,4198,3974,2741,2284,2719,2434,2401,2376,2486,2001,2554,3044,2866,2849,3038,2604,3201,2837,2391,3039,4114,5942,5134,4745,3897,6588,4455,5510,3925,3670,3017,3924,8684,9012,9455,8699,8174,10620,10243,8517,1977,1551,4199,2085,0
